,best_param,train_loss,test_loss
0,0.01,0.00026888948642112,0.024193548387096753
1,0.01,0.00026888948642112,0.025268817204301075
2,0.02,0.00013444474321056,0.02741935483870972
3,0.01,0.00040333422963156895,0.021505376344086002
4,0.02,0.00013444474321056,0.02580645161290318
5,0.02,0.00013444474321056,0.02311827956989243
6,0.01,0.0048400107555794936,0.02741935483870972
7,0.02,0.00013444474321056,0.02741935483870972
8,0.02,0.00013444474321056,0.02580645161290318
9,0.02,0.00013444474321056,0.03010752688172047
10,0.01,0.00026888948642112,0.03279569892473122
11,0.01,0.00040333422963156895,0.02473118279569897
12,0.02,0.00013444474321056,0.022580645161290325
13,0.01,0.00040333422963156895,0.01935483870967747
14,0.02,0.0,0.024193548387096753
15,0.01,0.00026888948642112,0.021505376344086002
16,0.02,0.00013444474321056,0.02473118279569897
17,0.02,0.0,0.02473118279569897
18,0.02,0.0,0.03010752688172047
19,0.02,0.00013444474321056,0.02849462365591393
