,best_param,train_loss,test_loss
0,0.012,0.00026888948642112,0.02204301075268822
1,0.014,0.0,0.02473118279569897
2,0.013,0.0,0.024193548387096753
3,0.015,0.00026888948642112,0.02741935483870972
4,0.014,0.00026888948642112,0.03440860215053765
5,0.014,0.00040333422963156895,0.02204301075268822
6,0.016,0.00013444474321056,0.029032258064516148
7,0.016,0.00026888948642112,0.029032258064516148
8,0.012,0.00026888948642112,0.018817204301075252
9,0.015,0.00026888948642112,0.02580645161290318
10,0.017,0.00040333422963156895,0.023655913978494647
11,0.013,0.00026888948642112,0.02473118279569897
12,0.015,0.0,0.027956989247311825
13,0.013,0.00026888948642112,0.022580645161290325
14,0.014,0.00026888948642112,0.024193548387096753
15,0.017,0.00013444474321056,0.016129032258064502
16,0.012,0.00026888948642112,0.026344086021505397
17,0.011,0.00026888948642112,0.02849462365591393
18,0.014,0.00013444474321056,0.023655913978494647
19,0.015,0.00040333422963156895,0.024193548387096753
